Publication Number,Title,Claims
WO2002030433A3,USE OF STEM CELLS AND CD6-DEPLETED STEM CELLS FOR INDUCING TOLERANCE OF ALLOGENIC TRANSPLANTS AND/OR FOR TREATING LEUKAEMIA ,
WO2004053096A3,ENGINEERING THREE-DIMENSIONAL TISSUE STRUCTURES USING DIFFERENTIATING EMBRYONIC STEM CELLS ,
WO2001030970A3,IMPROVED PROTOCOL FOR ACTIVATION OF OOCYTES ,
WO2009113595A1,METHOD FOR PRODUCING CELLS HAVING CHARACTERISTIC OF HEMATOPOIETIC STEM CELLS/PROGENITOR CELLS ,
WO2006101238A1,PACKAGE OF FREEZE STORAGE CONTAINER AND PROCESS FOR PRODUCING THE SAME ,
WO2004042023B1,STEM CELL LIBRARIES ,
WO2002092795A3,INTRACELLULAR BONDING OF COSTIMULATORY MOLECULES ,
WO2009145434A3,CD70-EXPRESSING NEURAL STEM CELLS CAPABLE OF INHIBITING TRANSPLANT IMMUNE RESPONSES AND USE THEREOF ,
WO2010011347A3,CLIP INHIBITORS AND METHODS OF MODULATING IMMUNE FUNCTION ,
WO2009034328A3,TWO STEP CLUSTER DELETION AND HUMANISATION ,
WO1994019463A3,DEVELOPMENTAL TYROSINE KINASES AND THEIR LIGANDS ,
WO2006009291A1,METHOD OF INDUCING THE DIFFERENTIATION OF MESENCHYMAL STEM CELL INTO ODONTOBLAST CELL ,
WO2003086311A3,METHODS FOR TREATING TWEAK-RELATED CONDITIONS ,
WO1994002611A3,RECOMBINANT HUMAN ERYTHROPOIETIN WITH ALTERED BIOLOGICAL ACTIVITY ,
WO2009111649A3,METHODS AND COMPOSITIONS FOR DELIVERY OF EXOGENOUS FACTORS TO NERVOUS SYSTEM SITES ,
WO2001051672A3,SYSTEM AND METHOD FOR CONTROLLING MALE FERTILITY ,
WO2008151088A8,IMMUNOGLOBULIN CONSTANT REGION FC RECEPTOR BINDING AGENTS ,
WO2008085229A3,CELL-BASED THERAPIES FOR TREATING LIVER DISEASE ,
WO2003040358A1,SOMATIC CELL DERIVED EMBRYONIC STEM CELLS AND ITS DIFFERENTIATED CELLS ,
WO2009010976A3,COMPOSITIONS AND METHODS FOR PURIFYING AND CRYSTALLIZING MOLECULES OF INTEREST ,
WO2007100715A3,CELL LABELING WITH PERFLUOROCARBON NANOPARTICLES FOR MAGNETIC RESONANCE IMAGING AND SPECTROSCOPY ,
WO2002053592A1,NOVEL POLYPEPTIDE AND DNA THEREOF ,
WO2008133206A1,NON-REPLICATING PARAMYXOVIRIDAE VIRUS VECTOR ,
WO2008121437A3,TROPHININ-BINDING PEPTIDES AND USES THEREOF ,
WO2007022385A3,USE OF CXCR4 BINDING MOLECULES FOR THE TREATMENT OF WHIM SYNDROME ,
WO2009113733A1,ROOT CANAL FILLER AND DENTAL TISSUE REGENERATION METHOD ,
WO2009151742A4,METHODS FOR IDENTIFYING NUCLEAR RECEPTOR/LIGAND COMBINATIONS FOR TARGETING BRAIN TUMOR STEM CELLS ,
WO2007053952B1,PLATELET FACTOR-4 (PF-4) ANALOGS AND THEIR USE ,
WO2007146120A3,"RATIONALE, METHODS, AND ASSAYS FOR IDENTIFYING NOVEL TASTE CELL GENES AND SALTY TASTE RECEPTOR TARGETS AND ASSAYS USING THESE IDENTIFIED GENES OR GENE PRODUCTS ",
WO2007022523A3,METHODS TO ENHANCE CHEMOTHERAPY ,
WO2007000924A1,PHARMACEUTICAL COMPOSITION COMPRISING SUBSTANCE CAPABLE OF INHIBITING OR PROMOTING PROGRANULIN ACTIVITY AND SCREENING METHOD FOR SUBSTANCE CAPABLE OF INHIBITING OR PROMOTING PROGRANULIN ACTIVITY ,
WO2010015831A3,PROCESS FOR CULTIVATING CELLS ,
WO2000023567A3,PROMOTION OF SELF-RENEWAL AND IMPROVED GENE TRANSDUCTION OF HEMATOPOIETIC STEM CELLS BY HISTONE DEACETYLASE INHIBITORS ,
WO2008056734A1,METHOD FOR PRODUCING DENDRITIC CELLS FROM HUMAN EMBRYONIC STEM CELLS ,
WO2008011134A3,USE OF LATE PASSAGE MESENCHYMAL STEM CELLS (MSCS) FOR TREATMENT OF CARDIAC RHYTHM DISORDERS ,
WO2007063316A3,METHOD FOR IDENTIFYING A MODULATOR OF A CELL SIGNALLING ,
WO1999067360A3,MEDIA AND METHODS FOR EXPANSION OF ERYTHROID STEM CELLS FOR THE PRODUCTION OF HEMOGLOBIN ,
WO2009042155A3,MRI-COMPATIBLE PATCHES AND METHODS FOR USING THE SAME ,
WO2008000045A8,NANOSTRUCTURED COMPOSITES ,
WO2010062059A2,"HYDROGEL TYPE CELL DELIVERY VEHICLE FOR WOUND HEALING, AND PREPARATION METHOD THEREOF ",
WO2006041838A3,HEPARINOID COMPOSITIONS FOR TREATMENT AND PREVENTION OF DEMENTIA ,
WO2010058398A3,IMAGE PROCESSING AND TOOL ACTUATION FOR MEDICAL PROCEDURES ,
WO2007030752A3,SYSTEM AND METHOD FOR TISSUE GENERATION AND BONE REGENERATION ,
WO2008106694A3,"SYSTEMS, METHODS AND COMPOSITIONS FOR OPTICAL STIMULATION OF TARGET CELLS ",
WO2002089658A3,MICROVASCULAR FREE FLAPS FOR LOCAL OR SYSTEMIC DELIVERY ,
WO2010007031A3,METHODS FOR IMPROVING CARDIAC DIFFERENTIATION OF HUMAN EMBRYONIC STEM CELLS ,
WO2006083782A3,DIRECTED DIFFERENTIATION OF EMBRYONIC STEM CELLS AND USES THEREOF ,
WO2008123614A1,METHOD FOR PRODUCTION OF THREE-DIMENSIONAL STRUCTURE OF CELLS ,
WO2010088633A4,NOVEL CELL LINES AND METHODS ,
WO2001005940A3,METHODS FOR PRODUCING AND PREPARING CELLS FOR CELL THERAPY ,
WO2004069172A3,MULTILINEAGE-INDUCIBLE CELLS AND USES THEREOF ,
WO2002083845A3,MODULATION OF PRIMARY STEM CELL DIFFERENTIATION ,
WO2006001348A1,"INHIBITION OF INFILTRATION, AND CELL KILLING AGENT ",
WO2006002253A3,NATIVE SOFT TISSUE MATRIX FOR THERAPEUTIC APPLICATIONS ,
WO2007145672A3,COMBINATIONS OF HUMAN PROTEINS TO ENHANCE VIABILITY OF STEM CELLS AND PROGENITOR CELLS ,
WO2003078585A3,COMPOSITIONS AND METHODS FOR PRIMATE NEURAL CELL PRODUCTION ,
WO2002022789A1,"PROCESS FOR PRODUCING NORMAL PARENCHYMAL CELLS, TISSUE OR ORGAN BY BIOINCUBATOR ",
WO2003027281A2,PLURIPOTENT STEM CELLS ORIGINATING IN SKELETAL MUSCLE INTESTINAL TISSUE ,
WO2008076370A3,P21 COMPOSITIONS AND METHODS FOR THE TREATMENT OF HIV ,
WO2002086073A3,GENERATION OF DIFFERENTIATED TISSUE FROM NUCLEAR TRANSFER EMBRYONIC STEM CELLS AND METHODS OF USE ,
WO2006029248A3,HOLLOW FIBER TECHNIQUE FOR IN VIVO STUDY OF CELL POPULATIONS ,
WO2005047300A3,IMPROVED METHODS AND COMPOSITIONS FOR RNA INTERFERENCE ,
WO2008022645A3,NCAM FIBRONECTIN TYPE 3 BINDING PEPTIDES ,
WO2006128190A3,COMPOSITIONS AND METHODS FOR TREATMENT OF NEURAL DISORDERS USING TRANSFORMING GROWTH FACTOR-BETA SUPERFAMILY PROTEINS AND THEIR ANTAGONISTS ,
WO2007136837A3,PROSTATE EPITHELIAL ANDROGEN RECEPTOR SUPPRESSES PROSTATE GROWTH AND TUMOR INVASION ,
WO2007116945A1,MARKER FOR PREDICTING GRAFT-VERSUS-HOST DISEASE AND UTILIZATION OF THE SAME ,
WO2007100530A3,METHODS AND COMPOSITIONS FOR THE REPAIR AND/OR REGENERATION OF DAMAGED MYOCARDIUM ,
WO2008018905A3,METHOD FOR PREDICTING BIOLOGICAL SYSTEMS RESPONSES ,
WO2008140586A3,MODULATION OF RHAMM (CD168) FOR SELECTIVE ADIPOSE TISSUE DEVELOPMENT ,
WO2007038264A3,GAPR-1 METHODS ,
WO2008036447A3,PLURIPOTENT STEM CELL CULTURE ,
WO2006004592A3,METHODS FOR AUTOLOGOUS STEM CELL TRANSPLANTATION ,
WO2005082004A3,RATIONALLY DESIGNED ANTIBODIES HAVING A DOMAIN-EXCHANGED SCAFFOLD ,
WO2007082177A3,"MYELOID SUPPRESSOR CELLS, METHODS FOR PREPARING THEM, AND METHODS FOR USING THEM FOR TREATING AUTOIMMUNITY ",
WO2003068937A3,EMBRYONIC-LIKE STEM CELLS DERIVED FROM POST-PARTUM MAMMALIAN PLACENTA AND USES AND METHODS OF TREATMENT USING SAID CELLS ,
WO2007002167A9,METHOD OF ENHANCING PROLIFERATION AND/OR HEMATOPOIETIC DIFFERENTIATION OF STEM CELLS ,
WO2008064244A3,PHOSPHOINOSITIDE MODULATION FOR THE TREATMENT OF NEURODEGENERATIVE DISEASES ,
WO2005032463A3,EDUCATED NKT CELLS AND THEIR USES IN THE TREATMENT OF IMMUNE-RELATED DISORDERS ,
WO2007130060A3,ISOLATION AND THERAPEUTIC APPLICATION OF ADULT RETINAL STEM CELLS COLLECTED FROM EXTRA-RETINAL TISSUES ,
WO2005105984A3,"CULTURE CONDITIONS AND GROWTH FACTORS AFFECTING FATE DETERMINATION, SELF-RENEWAL AND EXPANSION OF MOUSE SPERMATOGONIAL STEM CELLS ",
WO2008140863A3,LOCAL FIELD STIMULATION FOR CELL TRAINING OF A BIOLOGICAL PACEMAKER ,
WO2007140410A3,LOW-DENSITY LIPOPROTEIN RECEPTOR 6 (LRP6) AS A MAMMARY STEM CELL MARKER AND RELATED METHODS ,
WO2009120899A3,G COUPLED PROTEIN RECEPTORS ASSOCIATED WITH MYELOGENOUS HAEMATOLOGICAL PROLIFERATIVE DISORDERS AND USES THEREOF ,
WO2007062656A3,A NUCLEOTIDE VACCINE ,
WO2009050571A3,METHOD OF TREATMENT OF CONNECTIVE TISSUES AND ORGANS AND USES OF SAID TISSUES AND ORGANS ,
WO2008005531A3,C-MET RECEPTOR REGULATION BY ANGIOTENSIN IV (AT4) RECEPTOR LIGANDS ,
WO2007132883A1,"METHOD AND KIT FOR IDENTIFYING HEPATIC CANCER, DETERMINING THE DISEASE STAGE OR ESTIMATING THE PROGNOSIS ",
WO2007098742A3,PREVASCULARIZED TISSUE TRANSPLANT CONSTRUCTS FOR THE RECONSTRUCTION OF A HUMAN OR ANIMAL ORGAN ,
WO2009081503A1,DEVICE FOR CELL TRANSPLANTATION ,
WO2010043772A8,METHOD OF PROTECTING CELLS ,
WO2008027904A3,DRY WOUND DRESSING AND DRUG DELIVERY SYSTEM ,
WO2009045443A3,METHODS AND COMPOSITIONS RELATED TO SYNERGISTIC RESPONSES TO ONCOGENIC MUTATIONS ,
WO2009043908A3,NOVEL MARKER GENES FOR REGULATORY T CELLS FROM HUMAN BLOOD ,
WO2005089420A3,EXPANSION OF NEURAL STEM CELLS WITH LIF ,
WO2007121139A3,IN VIVO LOCALIZATION AND TRACKING OF TISSUE PENETRATING CATHETERS USING MAGNETIC RESONANCE IMAGING ,
WO2008105773A3,SYSTEM FOR TARGETED DELIVERY OF THERAPEUTIC AGENTS ,
WO2006110806A3,MULTIPOTENT ADULT STEM CELLS ,
WO2009034158A3,TRANSGENIC MICE ,
WO2008040153A1,APPLICATION OF A COUMARIN COMPOUND IN PREPARATION OF MEDICAMENT FOR INDUCING NERVE STEM CELL ORIENTING DIFFERENTIATION ,
WO2010004627A1,SPECIMEN IDENTIFICATION AND DISPENSATION DEVICE AND SPECIMEN IDENTIFICATION AND DISPENSATION METHOD ,
WO2001085196A3,CXCR4 ANTAGONIST TREATMENT OF HEMATOPOIETIC CELLS ,
WO2007010394A3,INHIBITION OF THE TUMORIGENIC POTENTIAL OF TUMOR STEM CELLS BY LIF AND BMPS ,
WO2003081992A3,THE FUNCTIONAL DISRUPTION OF AVIAN IMMUNOGLOBULIN GENES ,
WO2006014551A3,IN VIVO METHODS FOR EFFECTING TISSUE SPECIFIC DIFFERENTIATION OF EMBRYONIC STEM CELLS ,
WO2007056759A3,IMPROVED METHOD OF STEM CELL THERAPY FOR CARDIOVASCULAR REPAIR ,
WO2007089419A3,SEQUENCE OF STRO-1 ANTIBODY VARIABLE REGION ,
WO2005003335A9,RAPAMYCIN RESISTANT T CELLS AND THERAPEUTIC USES THEREOF ,
WO2008060932A3,METHODS FOR IMPROVED ENGRAFTMENT FOLLOWING STEM CELL TRANSPLANTATION ,
WO2000034495A3,A METHOD OF GENETICALLY MODIFYING VERY PRIMITIVE QUIESCENT HUMAN HEMATOPOIETIC STEM CELLS ,
WO2008117269A3,HETEROTRI CYCIII C COMPOUNDS AS SEROTONERGIC AND/OR DOPAMINERGIC AGENTS AND USES THEREOF ,
WO2005085422A9,ADULT STEM CELLS AND USES THEREOF,
WO2007149861A3,SOFT TISSUE REPAIR AND REGENERATION USING STEM CELL PRODUCTS ,
WO2002089727A9,METHODS OF USING CYTOKINE C17 ,
WO2006039582A3,COMPOSITIONS AND METHODS FOR DIAGNOSING AND TREATING BRAIN CANCER AND IDENTIFYING NEURAL STEM CELLS ,
WO2009017254A1,METHOD FOR CONSTRUCTING MASS OF MYOCARDIAL CELLS AND USE OF THE MYOCARDIAL CELL MASS ,
WO2010057039A3,ENCAPSULATION OF PANCREATIC CELLS DERIVED FROM HUMAN PLURIPOTENT STEM CELLS ,
WO2008071438A3,TREATMENT OF DISEASE OR INJURY OF THE NERVOUS SYSTEM USING AGENTS THAT DECREASE THE ACTIVITY OF THE MELANOCORTIN 4 RECEPTOR ,
WO2008016006A1,COMPOUND HAVING CYCLIC GROUP BOUND THERETO THROUGH SPIRO BINDING AND USE THEREOF ,
WO2007049749A1,THERAPEUTIC METHOD FOR BLOOD COAGULATION DISORDER ,
WO2006093881A3,METHOD AND COMPOSITION FOR REPAIRING EPITHELIAL AND OTHER CELLS AND TISSUE ,
WO2009140260A3,CANCER STEM CELL IMMORTALIZATION ,
WO2006074182A3,GROWTH FACTOR THERAPY MOBILIZATION OF STEM CELLS INTO THE PERIPHERAL BLOOD ,
WO2010083167A3,METHODS AND SYSTEMS FOR PERFORMING NEUROINTERVENTIONAL PROCEDURES ,
WO2006115243A1,METHOD OF PRODUCING CANCER STEM CELL ,
WO2002033073A1,DEGRADED AGONIST ANTIBODY ,
WO2008092099A3,COMPOSITIONS AND METHODS FOR TREATING HEMATOPOIETIC MALIGNANCIES ,
WO2009044379A3,OPTIMISED AND DEFINED METHOD FOR ISOLATION AND PRESERVATION OF PRECURSOR CELLS FROM HUMAN UMBILICAL CORD ,
WO2003042375A1,STEM CELLS ORIGINATING IN SALIVARY DUET EPITHELIAL CELLS AND USE THEREOF ,
WO2008040017A3,EUKARYOTIC CELLS EXPRESSING (SID-I) FOR GENE SCREENING ,
WO2004004637A3,METHOD AND APPARATUS FOR SORTING BIOLOGICAL CELLS WITH A MEMS DEVICE ,
WO2008066613A3,DEPOSITION OF CALCIUM-PHOSPHATE COATINGS ON METALLIC AND POLYMERIC SURFACES ,
WO1999015684A3,EXPRESSION OF GENES IN HEMATOPOIETIC STEM CELLS IN HISCHAEMIC CONDITIONS ,
WO2006130320A3,REPAIR OF THE BONE MARROW VASCULATURE ,
WO2008091352A8,INDICATOR CELL LINES AND METHODS FOR MAKING SAME ,
WO2007089798A3,METHODS OF PREPARING AND CHARACTERIZING MESENCHYMAL STEM CELL AGGREGATES AND USES THEREOF ,
WO2007089780A3,BMX/ETK TYROSINE KINASE GENE THERAPY MATERIALS AND METHODS ,
WO2005054459A1,PROCESS FOR PRODUCING HEMATOPOIETIC STEM CELLS OR VASCULAR ENDOTHELIAL PRECURSOR CELLS ,
WO2004003142A3,COMPOSITIONS AND METHODS FOR RESTORING IMMUNE REPERTOIRE IN PATIENTS WITH IMMUNOLOGICAL DEFECTS RELATED TO AUTOIMMUNITY AND ORGAN OR HEMATOPOIETIC STEM CELL TRANSPLANTATION ,
WO2007079250A3,DEVICES AND METHODS FOR ENRICHMENT AND ALTERATION OF CIRCULATING TUMOR CELLS AND OTHER PARTICLES ,
WO2007044314A3,ISOLATED EMBRYONIC-LIKE STEM CELLS DERIVED FROM HUMAN UMBILICAL CORD BLOOD ,
WO2005116070A9,REPORTER SYSTEM FOR DETECTING SIGNAL PATHWAY ACTIVATION IN MULTIPLE CELL TYPES ,
WO2010059965A3,METHODS AND COMPOSITIONS FOR GENERATING SELF ATTENUATING GENETIC CIRCUITRY ,
WO2008091908A3,HUMAN CANCER STEM CELLS ,
WO2010073760A1,METHOD FOR EVALUATION OF DIFFERENTIATION ABILITY OF STEM CELL ,
WO2003062373A3,METHODS AND MATERIALS FOR THE RECRUITMENT OF ENDOTHELIAL CELLS ,
WO2008082438A3,CHD5 IS A NOVEL TUMOR SUPPRESSOR GENE ,
WO2002064088A3,PHARMACEUTICAL COMPOSITION FOR THE TREATMENT OF ALOPECIA ,
WO2008013782A3,"METHODS FOR PROMOTING MYELINATION, NEURONAL SURVIVAL AND OLIGODENDROCYTE DIFFERENTIATION VIA ADMINISTRATION OF SP35 OR TRKA ANTAGONISTS ",
WO2007138577A3,METHODS OF GENERATING A NEURAL TISSUE USING MUSCLE-DERIVED CELLS ,
WO2008147483A8,NEUROGENIC COMPOUNDS ,
WO2008105919A3,NANOMECHANICAL CHARACTERIZATION OF CELLULAR ACTIVITY ,
WO2009137613A3,METHODS AND COMPOSITIONS FOR INDUCING BROWN ADIPOGENESIS ,
WO2008111161A1,METHOD OF IDENTIFYING UNIFORMITY OF MESENCHYMAL STEM CELLS AND UNIFORM MESENCHYMAL STEM CELLS ISOLATED USING THE METHOD ,
WO2008087917A1,METHOD FOR INDUCTION/DIFFERENTIATION INTO PHOTORECEPTOR CELL ,
WO2003065999A3,PROLIFERATED CELL LINES AND USES THEREOF ,
WO2008142862A1,ANTICANCER THERAPY BY TRANSPLANTING VASCULAR ENDOTHELIAL PROGENITOR CELLS ,
WO2009004351A3,METHODS FOR PRODUCING BIOMATERIALS WITH VARIABLE STIFFNESS ,
WO2000006766A9,METHOD FOR IDENTIFICATION AND ISOLATION OF HEMATOPOIETIC PROGENITOR CELLS ,
WO2010014949A3,COMPOSITIONS COMPRISING HEPATOCYTE-LIKE CELLS AND USES THEREOF ,
WO2003078588A9,PRIMITIVE AND PROXIMAL HEPATIC STEM CELLS ,
WO1999061589A3,EXPANSION OF HEMATOPOIETIC STEM CELLS TRANSDUCED WITH MDR-1 AND METHODS OF USE THEREOF ,
WO2005067948A2,"BIOLOGICAL MEDICINE FOR TREATING VARIOUS DISEASES CAUSED BY VARIOUS VIRUS, BACTERIAL INFECTION ",
WO2009017948A3,"SYSTEMS, METHODS AND COMPOSITIONS FOR REDUCTION OF INJURY FROM RADIATION EXPOSURE ",
WO2008040015A3,3D MICRO-SCALE ENGINEERED TISSUE MODEL SYSTEMS ,
WO2007116408A3,PLURIPOTENT STEM CELLS CHARACTERIZED BY EXPRESSION OF GERMLINE SPECIFIC GENES ,
WO1999039724A9,TREATMENT OF BONY DEFECTS WITH OSTEOBLAST PRECURSOR CELLS ,
WO2007079428A3,PROMOTER ENGINEERING AND GENETIC CONTROL ,
WO2006050091A3,BIOACTIVE WOUND DRESSINGS AND IMPLANTABLE DEVICES AND METHODS OF USE ,
WO2007008250A3,BIOMATERIALS FOR GUIDED TISSUE REGENERATION AND TARGET DRUG DELIVERY ,
WO2008011133A3,COMPOSITIONS OF LATE PASSAGE MESENCHYMAL STEM CELLS (MSCS) ,
WO2004024766A1,KDR PEPTIDES AND VACCINES CONTAINING THE SAME ,
WO2003004655A3,USE OF THE CD24 MARKER GENE FOR THE SELECTION OF KERATINOCYTE STEM CELLS TRANSFORMED BY EXOGENOUS SEQUENCES ,
WO2010117079A1,NEURONAL DIFFERENTIATION-INDUCING PEPTIDE AND USE THEREOF ,
WO2000010593A9,USE OF mCRP TO SLOW CELL GROWTH AND TO PROMOTE MATURATION OF CELLS ,
WO2001021766A3,METHODS AND DEVICES FOR OBTAINING NON-HEMATOPOIETIC LINEAGE CELLS FROM HEMATOPOIETIC PROGENITOR CELLS ,
WO2007022042A3,COMBINATIONS COMRISING A PROTEIN KINASE INHIBITOR BEING A PYRIMIDYLAMINOB&#926;NZAMIDE COMPOUND AND A HSP90 INHIBITOR SUCH AS 17-AAG ,
WO2009075761A3,ELECTRICALLY CONDUCTING SCAFFOLDS FOR CELL-BASED PACING ,
WO2009072625A1,AMPLIFICATION METHOD FOR HEMATOPOIETIC STEM CELLS WITH HETEROCYCLIC COMPOUND ,
WO2008079266A3,SYNTHESIS OF PYRROLIDINE COMPOUNDS ,
WO2007084487A3,PERICYTES FOR USE AS STEM CELLS ,
WO2008037458A3,"PSEUDOTYPING OF RETROVIRAL VECTORS, METHODS FOR PRODUCTION AND USE THEREOF FOR TARGETED GENE TRANSFER AND HIGH THROUGHPUT SCREENING ",
WO2007146831A3,"QUINOLONE ANALOGS DERIVATIZED WITH SULFONIC ACID, SULFONATE OR SULFONAMIDE ",
WO2005020935A3,METHOD AND COMPOSITION OF ADMINISTERING RADIOPROTECTANTS ,
WO2010022740A3,HIV-1 ENVELOPE POLYPEPTIDES FOR HIV VACCINE ,
WO2010061030A1,ISOLATION OF MULTIPOTENT HYPOPHYSARY CELLS AND IN VITRO DIFFERENTIATION THEREOF ,
WO2007149550A3,MODULATION OF DIFFERENTIATION AND CELL FUNCTION VIA FOX01 AND NOTCH SIGNALING ,
WO2000050572A9,USE OF COLLAGENASE IN THE PREPARATION OF NEURAL STEM CELL CULTURES ,
WO2004028342A3,ENDOGENOUS GRANZYME B IN HUMAN NON-HEMATOPOIETIC CELLS ,
WO2006037103A3,THE USE OF HUMAN STEM CELLS AND/OR FACTORS THEY PRODUCE TO PROMOTE ADULT MAMMALIAN CARDIAC REPAIR THROUGH CARDIOMYOCYTE CELL DIVISION ,
WO2004099232A3,SELECTIVE R-CADHERIN ANTAGONISTS AND METHODS ,
WO2008148831A3,ANTIGEN PRESENTING CELLS ,
WO2006113790A3,COMPOSITIONS AND METHODS FOR THE TREATMENT OF CANCER ,
WO2009073068A3,"BONE SCAFFOLDS, INJECTABLE BONE REPAIR MATERIALS AND METHODS FOR BONE REPAIR ",
WO2005121324A1,ES CELL MUTATION METHOD AND SYSTEM ,
WO2007115337A8,TISSUE ENGINEERING WITH HUMAN EMBRYONIC STEM CELLS ,
WO2004024875A8,MAMMALIAN MEGAKARYOCYTE PROGENITOR CELL ,
WO2002088335A1,STEM CELLS AND METHOD OF SEPARATING THE SAME ,
WO2004011484A3,PARATHYROID HORMONE RECEPTOR ACTIVATION AND HEMATOPOIETIC PROGENITOR CELL EXPANSION ,
WO2009031678A1,METHOD OF CONCENTRATING HUMAN MESENCHYMAL STEM CELLS ,
WO2000045633A1,TRANSGENIC ANIMAL SHOWING VASCULAR TISSUE-SPECIFIC EXPRESSION OF ANGIOTENSIN II2 RECEPTOR ,
WO2003011277A3,METHODS TO MOBILIZE PROGENITOR/STEM CELLS ,
WO2003000870A1,CULTURE METHOD FOR CARTILAGE DIFFERENTIATION ,
WO2007066775A1,TRANSGENIC FOWL HAVING Gla RESIDUE IN PROTEIN DERIVED FROM FOREIGN GENE ,
WO2008118820A3,SOMATIC CELL REPROGRAMMING ,
WO2000029550A9,LOW OXYGEN CULTURING OF CENTRAL NERVOUS SYSTEM PROGENITOR CELLS ,
WO2007090844A8,TRIHYDROCHLORIDE FORMS OF A DIHYDROPTERIDINONE DERIVATIVE AND PROCESSES FOR PREPARATION ,
WO2006085534A1,METHOD OF ACTIVATING THE FUNCTION OF CELLS FOR TRANSPLANTATION ,
WO2005030939A3,METHOD AND COMPOSITION FOR REGULATING EXPANSION OF STEM CELLS ,
WO2009091659A3,GENERATION OF TUMOR-FREE EMBRYONIC STEM-LIKE PLURIPOTENT CELLS USING INDUCIBLE RECOMBINANT RNA AGENTS ,
WO2008028111A3,ISOLATION AND DIFFERENTIATION OF ADULT HIPPOCAMPAL ARCTIC GROUND SQUIRREL NEURAL STEM CELLS ,
WO2008109674A3,CELL EXPANSION SYSTEM AND METHODS OF USE ,
WO1994027556A3,ANIMAL MODEL FOR HEPATITIS VIRUS INFECTION ,
WO2005116070A3,REPORTER SYSTEM FOR DETECTING SIGNAL PATHWAY ACTIVATION IN MULTIPLE CELL TYPES ,
WO2010131747A1,VIRUS-PRODUCING CELL ,
WO2000032752A9,PSCA: PROSTATE STEM CELL ANTIGEN AND USES THEREOF ,
WO2010081152A3,KELOID DERIVED PRECURSOR CELLS AND ITS APPLICATIONS OF USE THEREOF ,
WO2002028432A3,STEM CELL-BASED METHODS FOR PREVENTING AND TREATING TUMOR ,
WO2006080314A1,METHOD OF REMOVING LEUKEMIC CELLS FROM CELLS ORIGINATING IN TESTIS INFILTRATED WITH LEUKEMIA AND REAGENT KIT TO BE USED THEREIN ,
WO2002030320A3,STIMULATION OF THYMUS FOR VACCINATION DEVELOPMENT ,
WO2000027999A3,LYMPHOID TISSUE-SPECIFIC CELL PRODUCTION FROM HEMATOPOIETIC PROGENITOR CELLS IN THREE-DIMENSIONAL DEVICES ,
WO2003008554A3,METHODS AND COMPOSITIONS FOR CELL THERAPY ,
WO2004065580A3,MESECNHYMAL STEM CELLS AS A VEHICLE FOR ION CHANNEL TRANSFER IN SYNCYTIAL STRUCTURES ,
WO2005087248A1,DRUG HAVING INHIBITORY EFFECT ON THE DIFFERENTIATION AND/OR PROLIFERATION OF OSTEOCLASTS ,
WO2008046072A3,CHEMICAL INDUCERS OF NEUROGENESIS ,
WO2002102144A1,CELL DEAH-INDUCIBLE MODEL NONHUMAN ANIMAL ,
WO2003004626A9,A BIOPROCESS FOR THE GENERATION OF CELLS DERIVED FROM SPHEROID-FORMING CELLS ,
WO2001016181A3,CRYSTAL STRUCTURES OF DOMAINS OF RECEPTOR PROTEIN TYROSINE KINASES AND THEIR LIGANDS ,
WO2007136614A3,ASSAYS AND METHODS FOR THE DIAGNOSIS AND PROGRESSION OF ALZHEIMER'S DISEASE USING A MULTI-ANALYTE MARKER PANEL ,
WO2008156644A3,STAT MODULATORS ,
WO2006135899A3,"SURVIVAL, DIFFERENTIATION AND STRUCTURAL INTERGRATION OF HUMAN NEURAL STEM CELLS GRAFTED INTO THE ADULT SPINAL CORD ",
WO2008125279A3,ATRIAL-RADIOFREQUENCY CATHETER ABLATION MEDIATED TARGETING OF MESENCHYMAL STROMAL CELLS ,
WO2008070345A3,CONTROLLED RELEASE OF A CURING AGENT FOR THE GENERATION OF MICROPARTICULATE PHARMACEUTICALS ,
WO2008110578A3,"MARKERS, ANTIBODIES AND RECOMBINANT SCFVS FOR MESENCHYMAL STEM CELL-SUB-POPULATIONS AND OSTEOCLASTS ",
WO2001092877A3,METHOD OF IDENTIFYING AND/OR ISOLATING STEM CELLS ,
WO2004111206A1,A METHOD FOR ISOLATION AND CULTURE OF HUMAN EMBTYONIC STEM CELL ,
WO2009120082A3,MEANS AND METHODS FOR INFLUENCING ELECTRICAL ACTIVITY OF CELLS ,
WO2006030071A3,METHODS FOR THE UTILIZATION OF NOVEL TARGET GENES RELATED TO IMMUNE-MEDIATED DISEASES ,
WO2008112246A3,METHODS AND COMPOSITIONS FOR IDENTIFYING UNDIFFERENTIATED STEM CELLS ,
WO2008124406A3,METHODS OF TREATMENT USING GLYCOPEGYLATED G-CSF ,
WO2008070082A3,STEM-PROGENITOR CELL SPECIFIC MICRO-RIBONUCLEIC ACIDS AND USES THEREOF ,
WO2001094420B1,IDENTIFICATION AND USE OF HUMAN BONE MARROW-DERIVED ENDOTHELIAL PROGENITOR CELLS TO IMPROVE MYOCARDIAL FUNCTION AFTER ISCHEMIC INJURY ,
WO2006096640A3,USE OF NEURONAL PRECURSOR CELLS FOR TREATMENT OF CENTRAL NERVOUS SYSTEM LESIONS ,
